Identifiant livraison;Adresse du programme;Code postal;Ville;Année du financement - agrément;Bailleur social;Nombre total de logements financés;Dont nombre de logements PLA I;Dont nombre de logements PLUS;Dont nombre de logements PLUS CD;Dont nombre de logements PLS;Mode de réalisation;Commentaires;Arrondissement;Nature de programme;Coordonnée en X (L93);Coordonnée en Y (L93);geo_shape;geo_point_2d
2000028;90 BD DE LA CHAPELLE 29 RUE CHARBONNIERE;75018;Paris;2001;PARIS HABITAT;6;0;6;0;0;construction neuve;;18;logement familial;652578.3229;6865105.033;"{""coordinates"": [2.3533469673677816, 48.884213899547184], ""type"": ""Point""}";48.884213899547184, 2.3533469673677816
2000097;62, AVENUE MICHEL BIZOT;75012;Paris;2002;SEQENS HABITAT;24;9;15;0;0;acquisition réhabilitation;;12;logement familial;656108.0009;6859651.706;"{""coordinates"": [2.4020396805642026, 48.83542282012853], ""type"": ""Point""}";48.83542282012853, 2.4020396805642026
2000113;93, RUE SAINT DOMINIQUE 2-4 RUE AMELIE;75007;Paris;2002;PARIS HABITAT;15;0;15;0;0;acquisition réhabilitation;;7;logement familial;649172.164;6862393.531;"{""coordinates"": [2.307226483261079, 48.85957020973672], ""type"": ""Point""}";48.85957020973672, 2.307226483261079
2000157;14-18, RUE CAUCHY;75015;Paris;2002;ELOGIE SIEMP;92;14;58;0;20;acquisition conventionnement;;15;logement familial;646851.079;6860572.5488;"{""coordinates"": [2.2758199012674734, 48.84300703013455], ""type"": ""Point""}";48.84300703013455, 2.2758199012674734
2000161;345, RUE SAINT MARTIN;75003;Paris;2002;FREHA;16;16;0;0;0;acquisition réhabilitation;;3;logement familial;652686.5479;6863328.5006;"{""coordinates"": [2.3550205543434504, 48.86824595023758], ""type"": ""Point""}";48.86824595023758, 2.3550205543434504
2000172;22 RUE BERANGER (RS);75003;Paris;2002;ADOMA;39;39;0;0;0;acquisition réhabilitation;;3;résidence sociale pour démunis;653309.559;6863132.4474;"{""coordinates"": [2.3635346455168578, 48.866528340254874], ""type"": ""Point""}";48.866528340254874, 2.3635346455168578
2000174;6-16 RUE DAUBIGNY;75017;Paris;2002;PARIS HABITAT;121;0;121;0;0;acquisition réhabilitation;;17;logement familial;649330.256;6865182.6408;"{""coordinates"": [2.3090484989830755, 48.884664399630495], ""type"": ""Point""}";48.884664399630495, 2.3090484989830755
2000176;100, RUE DE JAVEL;75015;Paris;2002;RES.URB.;55;0;55;0;0;acquisition conventionnement;;15;logement familial;647573.435;6860674.7751;"{""coordinates"": [2.2856492144407357, 48.84398551966323], ""type"": ""Point""}";48.84398551966323, 2.2856492144407357
2000177;69, AVENUE DU DOCTEUR ARNOLD NETTER;75012;Paris;2002;ANTIN;35;0;35;0;0;acquisition conventionnement;;12;logement familial;656393.291;6860799.8554;"{""coordinates"": [2.405808466163551, 48.845767589852834], ""type"": ""Point""}";48.845767589852834, 2.405808466163551
2000194;97 BD DAVOUT;75020;Paris;2003;FONCIERE;20;0;0;0;20;construction neuve;;20;logement familial;656709.9779;6861862.1071;"{""coordinates"": [2.4100153815301413, 48.85534178026296], ""type"": ""Point""}";48.85534178026296, 2.4100153815301413
2000241;8, RUE DE LA CHAUSSEE D'ANTIN;75009;Paris;2003;ELOGIE SIEMP;28;0;28;0;0;acquisition réhabilitation;;9;logement familial;651146.679;6863723.4178;"{""coordinates"": [2.3339845542732167, 48.87168240016268], ""type"": ""Point""}";48.87168240016268, 2.3339845542732167
2000283;50 RUE PIAT;75020;Paris;2003;(vide);1;1;0;0;0;acquisition réhabilitation;;20;logement familial;654804.071;6863840.316;"{""coordinates"": [2.3838310971515106, 48.8730006797824], ""type"": ""Point""}";48.8730006797824, 2.3838310971515106
2000303;24 RUE DU RENDEZ VOUS;75012;Paris;2004;ELOGIE SIEMP;9;0;9;0;0;acquisition réhabilitation;;12;logement familial;656259.708;6860772.1911;"{""coordinates"": [2.403991158495159, 48.84550974974028], ""type"": ""Point""}";48.84550974974028, 2.403991158495159
2000307;45-47 RUE DUHESME;75018;Paris;2004;EFIDIS;3;0;3;0;0;acquisition réhabilitation;;18;logement familial;651663.1659;6865989.2705;"{""coordinates"": [2.340767584398051, 48.89209748012537], ""type"": ""Point""}";48.89209748012537, 2.340767584398051
2000308;21 RUE DU GENERAL BEURET;75015;Paris;2004;ELOGIE SIEMP;4;0;4;0;0;acquisition réhabilitation;;15;logement familial;648808.0379;6860297.26;"{""coordinates"": [2.302516143553558, 48.84068979975365], ""type"": ""Point""}";48.84068979975365, 2.302516143553558
2000313;97 RUE DAMREMONT  BAT E;75018;Paris;2004;SADIF;32;3;29;0;0;acquisition conventionnement;;18;logement familial;651377.5344;6866264.479;"{""coordinates"": [2.336840716264254, 48.8945508100154], ""type"": ""Point""}";48.8945508100154, 2.336840716264254
2000360;9, RUE GUY PATIN;75010;Paris;2004;PARIS HABITAT;67;0;67;0;0;acquisition réhabilitation;;10;logement familial;652412.284;6865002.3607;"{""coordinates"": [2.3510944293404257, 48.88327835042769], ""type"": ""Point""}";48.88327835042769, 2.3510944293404257
2000404;44 RUE ALBERT THOMAS;75010;Paris;2004;1001 VIES HABITAT;15;3;12;0;0;acquisition conventionnement;;10;logement familial;653219.134;6863549.5969;"{""coordinates"": [2.362256136171978, 48.87027312963257], ""type"": ""Point""}";48.87027312963257, 2.362256136171978
2000438;63, RUE DE CHABROL;75010;Paris;2004;ELOGIE SIEMP;25;0;25;0;0;acquisition réhabilitation;;10;logement familial;652386.559;6864317.2317;"{""coordinates"": [2.350820465004039, 48.877115280188036], ""type"": ""Point""}";48.877115280188036, 2.350820465004039
2000459;103 RUE CLAUDE DECAEN  - 41- 43, RUE DE LA BRECHE AUX LOUPS;75012;Paris;2005;FONCIERE;13;0;0;0;13;construction neuve;;12;logement familial;655654.94;6860059.7092;"{""coordinates"": [2.3958251402072848, 48.83906102024777], ""type"": ""Point""}";48.83906102024777, 2.3958251402072848
2000470;24 RUE DE LUBECK;75016;Paris;2005;PARIS HABITAT;2;0;2;0;0;construction neuve;;16;logement familial;648066.4289;6863046.0877;"{""coordinates"": [2.292076590469683, 48.865350330253484], ""type"": ""Point""}";48.865350330253484, 2.292076590469683
2000484;4-6 RUE DES ARENES;75005;Paris;2005;FREHA;2;2;0;0;0;acquisition réhabilitation;;5;logement familial;652605.7909;6860756.7158;"{""coordinates"": [2.3542064405625402, 48.845112190362954], ""type"": ""Point""}";48.845112190362954, 2.3542064405625402
2000487;109-111 RUE DE MENILMONTANT;75020;Paris;2005;PARIS HABITAT;16;0;0;0;16;acquisition réhabilitation;;20;résidence étudiante;655414.463;6863427.6431;"{""coordinates"": [2.39219571850461, 48.86933213004074], ""type"": ""Point""}";48.86933213004074, 2.39219571850461
2000493;ZAC PRG LOT M1F1 14-16 RUE THOMAS MANN 11, RUE RENE GOSCINNY;75013;Paris;2005;PARIS HABITAT;23;0;23;0;0;construction neuve;;13;logement familial;654506.6881;6859078.6209;"{""coordinates"": [2.3802864335318903, 48.83015794999378], ""type"": ""Point""}";48.83015794999378, 2.3802864335318903
2000504;142, RUE PELLEPORT;75020;Paris;2005;ELOGIE SIEMP;7;0;7;0;0;acquisition réhabilitation;;20;logement familial;655894.9;6863666.8471;"{""coordinates"": [2.3987201040841106, 48.8715163303353], ""type"": ""Point""}";48.8715163303353, 2.3987201040841106
2000515;25, RUE CUSTINE 65 RUE LABAT;75018;Paris;2005;PARIS HABITAT;25;6;13;0;6;acquisition réhabilitation;;18;logement familial;652067.2316;6865613.6739;"{""coordinates"": [2.346320507135922, 48.888750090401814], ""type"": ""Point""}";48.888750090401814, 2.346320507135922
2000524;23 RUE BECCARIA  12 PLACE D'ALIGRE;75012;Paris;2005;(vide);23;0;0;0;23;acquisition réhabilitation;;12;résidence étudiante;654397.6664;6861092.0615;"{""coordinates"": [2.378585551357808, 48.84825726024567], ""type"": ""Point""}";48.84825726024567, 2.378585551357808
2000535;19-23 RUE EMILE DUPLOYE  -LOT 7A;75018;Paris;2005;PARIS HABITAT;9;0;9;0;0;construction neuve;;18;logement familial;652714.3757;6865690.1661;"{""coordinates"": [2.355136971665951, 48.88948580960358], ""type"": ""Point""}";48.88948580960358, 2.355136971665951
2000545;94 RUE DE CHARONNE;75011;Paris;2005;IMM 3F;300;120;90;0;90;acquisition réhabilitation;;11;résidence sociale pour démunis;654707.337;6861729.7843;"{""coordinates"": [2.3827372712790336, 48.85401412984623], ""type"": ""Point""}";48.85401412984623, 2.3827372712790336
2000555;346 RUE LECOURBE;75015;Paris;2005;BATIGERE;5;5;0;0;0;acquisition réhabilitation;;15;logement familial;647431.333;6859901.5196;"{""coordinates"": [2.2838086362422456, 48.83702007992683], ""type"": ""Point""}";48.83702007992683, 2.2838086362422456
2000562;21, RUE BENARD;75014;Paris;2005;IMM 3F;20;20;0;0;0;acquisition réhabilitation;;14;résidence sociale pour démunis;650281.3549;6859255.2331;"{""coordinates"": [2.3227106715220023, 48.83143416000969], ""type"": ""Point""}";48.83143416000969, 2.3227106715220023
2000624;134, RUE DE CHARENTON;75012;Paris;2006;1001 VIES HABITAT;41;8;33;0;0;acquisition conventionnement;;12;logement familial;654488.038;6860819.5888;"{""coordinates"": [2.3798461374836846, 48.84581330044003], ""type"": ""Point""}";48.84581330044003, 2.3798461374836846
2000625;68, RUE DE L'OURCQ;75019;Paris;2006;FONCIERE;56;0;0;0;56;construction neuve;;19;logement familial;654324.2419;6866117.5266;"{""coordinates"": [2.3770447973415076, 48.89344512976325], ""type"": ""Point""}";48.89344512976325, 2.3770447973415076
2000654;4-18, RUE BRUNESEAU;75013;Paris;2006;RIVP;49;0;49;0;0;construction neuve;;13;résidence étudiante;655062.64;6858495.3518;"{""coordinates"": [2.3879209371280816, 48.824951510413015], ""type"": ""Point""}";48.824951510413015, 2.3879209371280816
2000696;3 IMPASSE DES PRIMEVERES;75011;Paris;2006;ELOGIE SIEMP;3;3;0;0;0;construction neuve;;11;logement familial;653727.8789;6862269.1841;"{""coordinates"": [2.369330756580323, 48.858795310075585], ""type"": ""Point""}";48.858795310075585, 2.369330756580323
2000706;11, IMPASSE DUPUY;75018;Paris;2006;ELOGIE SIEMP;1;1;0;0;0;acquisition réhabilitation;;18;logement familial;653200.0819;6865563.8721;"{""coordinates"": [2.3617744755262393, 48.88838557962134], ""type"": ""Point""}";48.88838557962134, 2.3617744755262393
2000735;161-161BIS RUE DE LA CONVENTION;75015;Paris;2006;ELOGIE SIEMP;50;50;0;0;0;acquisition réhabilitation;;15;résidence sociale issue du plan de traitement des foyers de travailleurs migrants;648140.6969;6860082.0265;"{""coordinates"": [2.293450430354241, 48.83870085017224], ""type"": ""Point""}";48.83870085017224, 2.293450430354241
2000792;130 BIS, BD DIDEROT - 11 COUR SAINT ELOI;75012;Paris;2007;RIVP;8;0;8;0;0;construction neuve;;12;logement familial;655127.6365;6860990.1157;"{""coordinates"": [2.3885430733639437, 48.84739171011039], ""type"": ""Point""}";48.84739171011039, 2.3885430733639437
2000794;75, RUE PIXERECOURT;75020;Paris;2007;ELOGIE SIEMP;4;0;4;0;0;acquisition réhabilitation;;20;logement familial;655679.698;6863978.7409;"{""coordinates"": [2.3957538563964653, 48.87430636017309], ""type"": ""Point""}";48.87430636017309, 2.3957538563964653
2000811;20 RUE PAULIN MERY ET 25-27 RUE DU PERE GUERIN;75013;Paris;2007;ELOGIE SIEMP;5;0;5;0;0;construction neuve;;13;logement familial;652531.1205;6859064.9211;"{""coordinates"": [2.353377798487491, 48.829892280110045], ""type"": ""Point""}";48.829892280110045, 2.353377798487491
2000812;31-33, RUE DE LA GLACIERE;75013;Paris;2007;ELOGIE SIEMP;3;0;3;0;0;acquisition réhabilitation;;13;logement familial;651906.8279;6859483.7298;"{""coordinates"": [2.344826722590201, 48.83361238957054], ""type"": ""Point""}";48.83361238957054, 2.344826722590201
2000841;13, RUE DOUDEAUVILLE;75018;Paris;2007;ELOGIE SIEMP;6;6;0;0;0;construction neuve;;18;logement familial;652950.507;6865616.3271;"{""coordinates"": [2.3583652791810734, 48.88883910018022], ""type"": ""Point""}";48.88883910018022, 2.3583652791810734
2000860;26-28, RUE FIRMIN GEMIER;75018;Paris;2007;PARIS HABITAT;4;0;4;0;0;acquisition réhabilitation;;18;logement familial;650943.351;6866365.7368;"{""coordinates"": [2.33090749149667, 48.89542844002338], ""type"": ""Point""}";48.89542844002338, 2.33090749149667
2000869;88, RUE DIDOT - 1 A 7 VILLA MALLEBAY;75014;Paris;2007;ELOGIE SIEMP;2;1;0;1;0;construction neuve;;14;logement familial;649787.5334;6858928.3845;"{""coordinates"": [2.3160225185774403, 48.828456500290756], ""type"": ""Point""}";48.828456500290756, 2.3160225185774403
2000893;5-7 RUE DE L'ESCAUT;75019;Paris;2007;HSF;7;0;0;0;7;construction neuve;;19;logement familial;654097.94;6866057.2823;"{""coordinates"": [2.373964990428512, 48.892887280031495], ""type"": ""Point""}";48.892887280031495, 2.373964990428512
2000894;31-35, RUE DES ORTEAUX LOT 3;75020;Paris;2007;PARIS HABITAT;10;0;10;0;0;construction neuve;;20;logement familial;654566.6049;6866957.4873;"{""coordinates"": [2.3802602525012198, 48.901015710073565], ""type"": ""Point""}";48.901015710073565, 2.3802602525012198
2000906;69 RUE DE CLERY;75002;Paris;2007;FREHA;10;10;0;0;0;acquisition réhabilitation;;2;maison relais;652299.2059;6863425.7771;"{""coordinates"": [2.349729605510485, 48.8690921696918], ""type"": ""Point""}";48.8690921696918, 2.349729605510485
2000918;71, RUE SAINT DOMINIQUE;75007;Paris;2007;BATIGERE;11;3;8;0;0;construction neuve;;7;logement familial;649353.041;6862422.3133;"{""coordinates"": [2.3096882462671102, 48.85984329021336], ""type"": ""Point""}";48.85984329021336, 2.3096882462671102
2000982;254, RUE DU FAUBOURG SAINT ANTOINE, 105-119 BD DIDEROT (E. NAPOLEON);75012;Paris;2007;RIVP;141;141;0;0;0;construction neuve;;12;foyer pour jeunes travailleurs ou résidence pour jeunes actifs;655308.408;6861164.7098;"{""coordinates"": [2.3909879240664704, 48.84897440010339], ""type"": ""Point""}";48.84897440010339, 2.3909879240664704
2000989;25-27 RUE DE L'ECHIQUIER;75010;Paris;2007;SABLIERE;66;66;0;0;0;construction neuve;;10;foyer pour jeunes travailleurs ou résidence pour jeunes actifs;652377.586;6863681.404;"{""coordinates"": [2.350769405242443, 48.871396769801], ""type"": ""Point""}";48.871396769801, 2.350769405242443
2000994;131-133, RUE CASTAGNARY;75015;Paris;2007;ELOGIE SIEMP;10;2;6;0;2;construction neuve;;15;logement familial;648836.841;6859104.639;"{""coordinates"": [2.303051979529949, 48.8299668104287], ""type"": ""Point""}";48.8299668104287, 2.303051979529949
2001009;9-11, PASSAGE DUHESME;75018;Paris;2007;ELOGIE SIEMP;3;0;0;0;3;construction neuve;;18;logement familial;652161.291;6866425.3319;"{""coordinates"": [2.34751171318518, 48.89605600989635], ""type"": ""Point""}";48.89605600989635, 2.34751171318518
2001012;24, RUE EMILE CHAINE 26, RUE BOINOD;75018;Paris;2007;ELOGIE SIEMP;6;0;6;0;0;construction neuve;;18;logement familial;652412.503;6866094.8869;"{""coordinates"": [2.350974968117882, 48.89310307018277], ""type"": ""Point""}";48.89310307018277, 2.350974968117882
2001036;20-26 RUE SAINT FARGEAU;75020;Paris;2008;RIVP;303;0;153;0;150;acquisition conventionnement;;20;logement familial;656114.705;6863650.2878;"{""coordinates"": [2.4017182765321423, 48.87138242999363], ""type"": ""Point""}";48.87138242999363, 2.4017182765321423
2001055;51-59, RUE BARON LE ROY;75012;Paris;2008;EFIDIS;27;27;0;0;0;construction neuve;;12;maison relais;655200.1715;6859445.7692;"{""coordinates"": [2.3896940864958056, 48.83350834008081], ""type"": ""Point""}";48.83350834008081, 2.3896940864958056
2001070;102 AVENUE D'ITALIE;75013;Paris;2008;LOGIREP;10;0;0;0;10;construction neuve;;13;logement familial;652814.271;6858537.1524;"{""coordinates"": [2.357293225515175, 48.82516677029089], ""type"": ""Point""}";48.82516677029089, 2.357293225515175
2001073;84 RUE DU FAUBOURG SAINT ANTOINE;75012;Paris;2008;PARIS HABITAT;14;5;9;0;0;acquisition réhabilitation;;12;logement familial;654145.985;6861446.7838;"{""coordinates"": [2.3751178271662097, 48.85142940989917], ""type"": ""Point""}";48.85142940989917, 2.3751178271662097
2001110;130 BIS, BD DIDEROT - 11 COUR SAINT ELOI;75012;Paris;2008;RIVP;1;0;0;0;1;construction neuve;;12;logement familial;655123.6969;6860962.3991;"{""coordinates"": [2.3884923170507943, 48.84714217995002], ""type"": ""Point""}";48.84714217995002, 2.3884923170507943
2001121;2 RUE COURNOT;75015;Paris;2008;ELOGIE SIEMP;1;1;0;0;0;acquisition réhabilitation;;15;logement familial;648107.533;6860244.6676;"{""coordinates"": [2.2929787775233796, 48.840160809923404], ""type"": ""Point""}";48.840160809923404, 2.2929787775233796
2001162;10 RUE DE LA COSSONNERIE;75001;Paris;2008;ELOGIE SIEMP;8;0;8;0;0;acquisition conventionnement;;1;logement familial;652203.4589;6862591.9395;"{""coordinates"": [2.34851819760326, 48.86158651016557], ""type"": ""Point""}";48.86158651016557, 2.34851819760326
2001173;64 RUE SAINT HONORE;75001;Paris;2008;ELOGIE SIEMP;12;0;12;0;0;acquisition conventionnement;;1;logement familial;651839.665;6862565.0087;"{""coordinates"": [2.3435628521052165, 48.86131722995441], ""type"": ""Point""}";48.86131722995441, 2.3435628521052165
2001210;35, RUE DU CHEMIN VERT;75011;Paris;2008;PARIS HABITAT;22;7;11;0;4;acquisition conventionnement;;11;logement familial;654066.436;6862275.3535;"{""coordinates"": [2.3739442844695287, 48.858875019643136], ""type"": ""Point""}";48.858875019643136, 2.3739442844695287
2001211;20  RUE DE LA GLACIERE;75013;Paris;2008;PARIS HABITAT;72;10;47;0;15;acquisition conventionnement;;13;logement familial;651928.109;6859745.7317;"{""coordinates"": [2.3450870190970514, 48.83597018012104], ""type"": ""Point""}";48.83597018012104, 2.3450870190970514
2001220;10 RUE MAITRE ALBERT;75005;Paris;2008;ELOGIE SIEMP;1;0;1;0;0;acquisition réhabilitation;;5;logement familial;652283.022;6861385.8759;"{""coordinates"": [2.3497379920269856, 48.850746390249576], ""type"": ""Point""}";48.850746390249576, 2.3497379920269856
2001230;77-79, RUE LAUGIER ET 12, RUE GALVANI;75017;Paris;2008;PARIS HABITAT;1;0;1;0;0;acquisition conventionnement;;17;logement familial;648036.7074;6865120.4743;"{""coordinates"": [2.291417730654946, 48.88400226999651], ""type"": ""Point""}";48.88400226999651, 2.291417730654946
2001231;BERTHIER 1, SQUARE DU RHONE;75017;Paris;2008;PARIS HABITAT;3;0;3;0;0;acquisition réhabilitation;;17;logement familial;648702.8655;6865647.1317;"{""coordinates"": [2.3004374994363284, 48.88879171002027], ""type"": ""Point""}";48.88879171002027, 2.3004374994363284
2001257;35, RUE DE LA CHAPELLE;75018;Paris;2008;SABLIERE;100;60;40;0;0;acquisition réhabilitation;;18;foyer pour jeunes travailleurs ou résidence pour jeunes actifs;653034.1549;6866072.8422;"{""coordinates"": [2.3594554706282724, 48.89295048032951], ""type"": ""Point""}";48.89295048032951, 2.3594554706282724
2001267;28 RUE DE L'ERMITAGE;75020;Paris;2008;ELOGIE SIEMP;10;0;3;0;7;construction neuve;;20;logement familial;655381.349;6863599.7049;"{""coordinates"": [2.391726247152168, 48.87087715991025], ""type"": ""Point""}";48.87087715991025, 2.391726247152168
2001269;25-27, RUE DES ORTEAUX LOT 2;75020;Paris;2008;ELOGIE SIEMP;6;0;6;0;0;construction neuve;;20;logement familial;656038.5545;6862029.2341;"{""coordinates"": [2.4008478520913408, 48.85679928024981], ""type"": ""Point""}";48.85679928024981, 2.4008478520913408
2001294;VIGNOLES EST SECTEUR RANCON;75020;Paris;2009;ELOGIE SIEMP;20;0;15;0;5;acquisition réhabilitation;;20;logement familial;655892.1214;6861662.2825;"{""coordinates"": [2.398890258377393, 48.85348929014072], ""type"": ""Point""}";48.85348929014072, 2.398890258377393
2001296;7, RUE VAUQUELIN;75005;Paris;2009;ELOGIE SIEMP;17;17;0;0;0;acquisition réhabilitation;;5;maison relais;652130.582;6860326.369;"{""coordinates"": [2.3477799705225766, 48.841206949670365], ""type"": ""Point""}";48.841206949670365, 2.3477799705225766
2001323;42, RUE CHARLOT;75003;Paris;2009;ELOGIE SIEMP;4;2;2;0;0;acquisition réhabilitation;;3;logement familial;653224.9239;6862706.2722;"{""coordinates"": [2.362427890519167, 48.862689669711614], ""type"": ""Point""}";48.862689669711614, 2.362427890519167
2001332;PONIATOWSKI 4 SQUARE DU MASSIF CENTRAL;75012;Paris;2009;PARIS HABITAT;1;0;1;0;0;acquisition réhabilitation;;12;logement familial;655950.7859;6859392.2397;"{""coordinates"": [2.399924815061483, 48.833078679958746], ""type"": ""Point""}";48.833078679958746, 2.399924815061483
2001370;RUE DE REUILLY - 6 ET 8 PASSAGE A12;75012;Paris;2009;RIVP;1;0;1;0;0;construction neuve;;12;logement familial;655223.6502;6860684.0653;"{""coordinates"": [2.3898835825557314, 48.84464607013104], ""type"": ""Point""}";48.84464607013104, 2.3898835825557314
2001373;30, RUE BARON - 27, RUE LANTIEZ;75017;Paris;2009;RIVP;29;3;16;0;10;acquisition conventionnement;;17;logement familial;650396.249;6866363.4529;"{""coordinates"": [2.323446098437004, 48.89536597983247], ""type"": ""Point""}";48.89536597983247, 2.323446098437004
2001410;14, RUE DAUMIER;75016;Paris;2009;PARIS HABITAT;16;1;11;0;4;acquisition conventionnement;;16;logement familial;645965.1567;6860191.9891;"{""coordinates"": [2.2637978131153518, 48.83951100038468], ""type"": ""Point""}";48.83951100038468, 2.2637978131153518
2001422;12, AVENUE BOUDON ET 55, RUE JEAN DE LA FONTAINE;75016;Paris;2009;PARIS HABITAT;1;0;1;0;0;acquisition conventionnement;;16;logement familial;646363.8212;6861329.3633;"{""coordinates"": [2.2690857026019833, 48.84977261976464], ""type"": ""Point""}";48.84977261976464, 2.2690857026019833
2001423;77-79, RUE LAUGIER ET 12, RUE GALVANI;75017;Paris;2009;PARIS HABITAT;1;0;1;0;0;acquisition conventionnement;;17;logement familial;648036.7074;6865120.4743;"{""coordinates"": [2.291417730654946, 48.88400226999651], ""type"": ""Point""}";48.88400226999651, 2.291417730654946
2001438;36 RUE DE MALTE;75011;Paris;2009;RIVP;14;2;9;0;3;acquisition réhabilitation;;11;logement familial;653619.125;6863052.9325;"{""coordinates"": [2.3677630225519315, 48.86583564037632], ""type"": ""Point""}";48.86583564037632, 2.3677630225519315
2001445;8, PASSAGE DU PETIT CERF;75017;Paris;2009;ELOGIE SIEMP;2;0;2;0;0;acquisition réhabilitation;;17;logement familial;652256.1749;6862955.2037;"{""coordinates"": [2.3491958923457226, 48.864857199825025], ""type"": ""Point""}";48.864857199825025, 2.3491958923457226
2001446;30-32, RUE DESNOUETTES;75015;Paris;2009;ELOGIE SIEMP;2;0;2;0;0;acquisition réhabilitation;;15;logement familial;647923.1319;6859793.795;"{""coordinates"": [2.2905216895923752, 48.836091239653186], ""type"": ""Point""}";48.836091239653186, 2.2905216895923752
2001502;20-24 RUE DE BELLEVILLE;75020;Paris;2009;ELOGIE SIEMP;1;0;1;0;0;acquisition réhabilitation;;20;logement familial;654452.6369;6863793.9731;"{""coordinates"": [2.3790450616527363, 48.87255916957472], ""type"": ""Point""}";48.87255916957472, 2.3790450616527363
2001507;28-30 RUE DU SURMELIN;75020;Paris;2009;ELOGIE SIEMP;2;0;2;0;0;acquisition réhabilitation;;20;logement familial;656271.5279;6863299.0201;"{""coordinates"": [2.4038922895424206, 48.86823420036197], ""type"": ""Point""}";48.86823420036197, 2.4038922895424206
2001521;17, RUE DU DOCTEUR JACQUEMAIRE CLEMENCEAU;75015;Paris;2009;ELOGIE SIEMP;1;0;1;0;0;acquisition réhabilitation;;15;logement familial;648497.4917;6860473.1199;"{""coordinates"": [2.298263920680949, 48.84224655964288], ""type"": ""Point""}";48.84224655964288, 2.298263920680949
2001552;16-16BIS, RUE DE NANTES;75019;Paris;2009;SNL-PROLOG;1;1;0;0;0;acquisition réhabilitation;;19;logement familial;654708.3499;6865929.6133;"{""coordinates"": [2.3823033414352937, 48.89178242965484], ""type"": ""Point""}";48.89178242965484, 2.3823033414352937
2001557;TOUR MANTOUE 9 VILLA D'ESTE;75013;Paris;2010;1001 VIES HABITAT;109;0;109;0;0;acquisition conventionnement;;13;logement familial;653502.4761;6858139.2812;"{""coordinates"": [2.3667101785288724, 48.82163864987446], ""type"": ""Point""}";48.82163864987446, 2.3667101785288724
2001558;29 RUE DES MEUNIERS;75012;Paris;2010;EFIDIS;92;0;0;0;92;acquisition conventionnement;;12;logement familial;655752.9299;6859535.5905;"{""coordinates"": [2.3972146524802613, 48.83435429980301], ""type"": ""Point""}";48.83435429980301, 2.3972146524802613
2001565;3 RUE DE L'ARC DE TRIOMPHE;75017;Paris;2010;ELOGIE SIEMP;12;4;8;0;0;acquisition réhabilitation;;17;logement familial;648208.389;6864274.2359;"{""coordinates"": [2.293861883084684, 48.87640616965895], ""type"": ""Point""}";48.87640616965895, 2.293861883084684
2001575;43 RUE DE L'ARBRE SEC;75001;Paris;2010;ELOGIE SIEMP;25;6;16;0;3;acquisition réhabilitation;;1;logement familial;651754.097;6862542.4789;"{""coordinates"": [2.342399150575154, 48.861108219713515], ""type"": ""Point""}";48.861108219713515, 2.342399150575154
2001586;7-11, RUE NICOLAS HOUEL;75005;Paris;2010;PARIS HABITAT;2;0;2;0;0;acquisition conventionnement;;5;logement familial;653161.3099;6860419.6177;"{""coordinates"": [2.361812734598992, 48.842121279813746], ""type"": ""Point""}";48.842121279813746, 2.361812734598992
2001588;2-14, RUE GERARD DE NERVAL;75018;Paris;2010;PARIS HABITAT;2;0;2;0;0;construction neuve;;18;logement familial;651236.3919;6866802.0072;"{""coordinates"": [2.3348540175259425, 48.89937388976746], ""type"": ""Point""}";48.89937388976746, 2.3348540175259425
2001602;29, AVENUE LEDRU ROLLIN;75012;Paris;2010;PARIS HABITAT;1;1;0;0;0;acquisition conventionnement;;12;logement familial;653754.7138;6860989.5456;"{""coordinates"": [2.3698356745832836, 48.84728951022055], ""type"": ""Point""}";48.84728951022055, 2.3698356745832836
2001623;GROUPE SAINT LAMBERT 8, RUE THEOPHRASTE RENAUDOT;75015;Paris;2010;PARIS HABITAT;1;0;1;0;0;acquisition réhabilitation;;15;logement familial;648303.3412;6860471.6428;"{""coordinates"": [2.2956188854172375, 48.84221772994218], ""type"": ""Point""}";48.84221772994218, 2.2956188854172375
2001627;GROUPE PORTE DE MONTREUIL 3, SQUARE JULES CHERET;75020;Paris;2010;PARIS HABITAT;1;0;1;0;0;acquisition réhabilitation;;20;logement familial;656821.1856;6861890.5801;"{""coordinates"": [2.4115280444127376, 48.85560529995494], ""type"": ""Point""}";48.85560529995494, 2.4115280444127376
2001634;ZAC RUNGIS  LOT D (EHPAD);75013;Paris;2010;CASVP;100;0;0;0;100;construction neuve;;13;établissement d'hébergement pour personnes âgées dépendantes;652085.7203;6858172.5492;"{""coordinates"": [2.3474112821996798, 48.82183409025092], ""type"": ""Point""}";48.82183409025092, 2.3474112821996798
2001660;74, RUE DES POISSONNIERS;75018;Paris;2010;ELOGIE SIEMP;4;0;4;0;0;construction neuve;;18;logement familial;652461.604;6865856.0857;"{""coordinates"": [2.351671345560742, 48.89095924987927], ""type"": ""Point""}";48.89095924987927, 2.351671345560742
2001665;GROUPE PERRICHONT MONT BLANC 4, SQUARE DU MONT BLANC;75016;Paris;2010;PARIS HABITAT;1;0;1;0;0;acquisition réhabilitation;;16;logement familial;646700.4398;6861292.9241;"{""coordinates"": [2.2736772005794355, 48.84947286004293], ""type"": ""Point""}";48.84947286004293, 2.2736772005794355
