Identifiant livraison;Adresse du programme;Code postal;Ville;Année du financement - agrément;Bailleur social;Nombre total de logements financés;Dont nombre de logements PLA I;Dont nombre de logements PLUS;Dont nombre de logements PLUS CD;Dont nombre de logements PLS;Mode de réalisation;Commentaires;Arrondissement;Nature de programme;Coordonnée en X (L93);Coordonnée en Y (L93);geo_shape;geo_point_2d
2000759;69BIS-71 BD PEREIRE;75017;Paris;2006;IMM 3F;19;0;0;0;19;construction neuve;;17;logement familial;648926.4316;6865437.8449;"{""coordinates"": [2.3035113884695857, 48.88692744959194], ""type"": ""Point""}";48.88692744959194, 2.3035113884695857
2000770;5, PASSAGE SAINT-AMBROISE;75011;Paris;2007;FONCIERE;1;0;0;0;1;acquisition conventionnement;;11;logement familial;654341.292;6862722.2476;"{""coordinates"": [2.377642297631127, 48.86291343042812], ""type"": ""Point""}";48.86291343042812, 2.377642297631127
2000774;6, CITE DES TROIS BORNES;75011;Paris;2007;PARIS HABITAT;12;0;12;0;0;acquisition réhabilitation;;11;logement familial;653944.831;6863161.6855;"{""coordinates"": [2.3721908822329487, 48.86683700960312], ""type"": ""Point""}";48.86683700960312, 2.3721908822329487
2000805;27, RUE DU CHATEAU D'EAU;75010;Paris;2007;RIVP;86;22;43;0;21;construction neuve;;10;logement familial;652999.4024;6863582.6052;"{""coordinates"": [2.3592571075412154, 48.87055396959664], ""type"": ""Point""}";48.87055396959664, 2.3592571075412154
2000807;2, PASSAGE SAINT ANTOINE;75011;Paris;2007;ELOGIE SIEMP;6;0;6;0;0;construction neuve;;11;logement familial;654237.1319;6861638.7961;"{""coordinates"": [2.3763392263516216, 48.853162649841586], ""type"": ""Point""}";48.853162649841586, 2.3763392263516216
2000837;7-16 VILLA DES BUTTES CHAUMONT;75019;Paris;2007;RIVP;42;0;0;0;42;acquisition conventionnement;;19;logement familial;655116.421;6864541.5538;"{""coordinates"": [2.388015189113311, 48.87932860040378], ""type"": ""Point""}";48.87932860040378, 2.388015189113311
2000851;87 RUE DES POISSONNIERS;75018;Paris;2007;ELOGIE SIEMP;4;4;0;0;0;construction neuve;;18;logement familial;652482.181;6865980.3444;"{""coordinates"": [2.3519380541228943, 48.892078180353664], ""type"": ""Point""}";48.892078180353664, 2.3519380541228943
2000864;19-23, RUE EMILE DUPLOYE;75018;Paris;2007;PARIS HABITAT;1;1;0;0;0;construction neuve;;18;logement familial;652715.756;6865690.4751;"{""coordinates"": [2.355155760412871, 48.88948868970005], ""type"": ""Point""}";48.88948868970005, 2.355155760412871
2000887;75, RUE DE LA CROIX NIVERT;75015;Paris;2007;ELOGIE SIEMP;1;1;0;0;0;acquisition réhabilitation;;15;logement familial;648356.5179;6860671.5821;"{""coordinates"": [2.2963191175710023, 48.84402004006423], ""type"": ""Point""}";48.84402004006423, 2.2963191175710023
2000928;11-11BIS RUE DU CONSERVATOIRE;75009;Paris;2007;ELOGIE SIEMP;22;4;12;0;6;acquisition réhabilitation;;9;logement familial;652088.37;6863904.6899;"{""coordinates"": [2.346801557465176, 48.87338327955444], ""type"": ""Point""}";48.87338327955444, 2.346801557465176
2000940;75 RUE DE L'AMIRAL MOUCHEZ;75013;Paris;2007;PARIS HABITAT;33;0;0;0;33;construction neuve;;13;logement familial;651794.166;6858078.9601;"{""coordinates"": [2.3434511163502108, 48.82097069042645], ""type"": ""Point""}";48.82097069042645, 2.3434511163502108
2000957;4-10, RUE EMILE DUPLOYE (ULS) LOTS 1-3 ET 7;75018;Paris;2007;PARIS HABITAT;3;3;0;0;0;construction neuve;;18;logement familial;652750.3597;6865657.2546;"{""coordinates"": [2.3556313483303, 48.88919248996335], ""type"": ""Point""}";48.88919248996335, 2.3556313483303
2002665;GROUPE SICARD 43 AV ALBERT BARTHOLOME 82 BD LEFEBVRE;75015;Paris;2007;PARIS HABITAT;3;0;3;0;0;acquisition réhabilitation;;15;logement familial;648548.4856;6858985.4054;"{""coordinates"": [2.2991386043454947, 48.828871580331544], ""type"": ""Point""}";48.828871580331544, 2.2991386043454947
2001034;10-12, RUE DU CHAMP DE L'ALOUETTE;75013;Paris;2008;(vide);9;0;0;0;9;construction neuve;;13;logement familial;651994.432;6859353.5976;"{""coordinates"": [2.3460347804860073, 48.83244862994556], ""type"": ""Point""}";48.83244862994556, 2.3460347804860073
2001060;52 RUE DES CASCADES;75020;Paris;2008;PARIS HABITAT;31;0;0;0;31;construction neuve;;20;résidence étudiante;655316.727;6863730.7661;"{""coordinates"": [2.390831524521897, 48.87205128978815], ""type"": ""Point""}";48.87205128978815, 2.390831524521897
